Group,Catagory,Code,Long Description,Short Description
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4368,"Ostomy filter, any type, each",Ostomy filter
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4369,"Ostomy skin barrier, liquid (spray, brush, etc.), per oz",Skin barrier liquid per oz
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4371,"Ostomy skin barrier, powder, per oz",Skin barrier powder per oz
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4372,"Ostomy skin barrier, solid 4 x 4 or equivalent, standard wear, with built-in convexity, each",Skin barrier solid 4x4 equiv
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4373,"Ostomy skin barrier, with flange (solid, flexible or accordion), with built-in convexity, any size, each",Skin barrier with flange
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4375,"Ostomy pouch, drainable, with faceplate attached, plastic, each",Drainable plastic pch w fcpl
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4376,"Ostomy pouch, drainable, with faceplate attached, rubber, each",Drainable rubber pch w fcplt
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4377,"Ostomy pouch, drainable, for use on faceplate, plastic, each",Drainable plstic pch w/o fp
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4378,"Ostomy pouch, drainable, for use on faceplate, rubber, each",Drainable rubber pch w/o fp
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4379,"Ostomy pouch, urinary, with faceplate attached, plastic, each",Urinary plastic pouch w fcpl
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4380,"Ostomy pouch, urinary, with faceplate attached, rubber, each",Urinary rubber pouch w fcplt
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4381,"Ostomy pouch, urinary, for use on faceplate, plastic, each",Urinary plastic pouch w/o fp
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4382,"Ostomy pouch, urinary, for use on faceplate, heavy plastic, each",Urinary hvy plstc pch w/o fp
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4383,"Ostomy pouch, urinary, for use on faceplate, rubber, each",Urinary rubber pouch w/o fp
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4384,"Ostomy faceplate equivalent, silicone ring, each",Ostomy faceplt/silicone ring
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4385,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, without built-in convexity, each",Ost skn barrier sld ext wear
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4387,"Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece), each",Ost clsd pouch w att st barr
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4388,"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each",Drainable pch w ex wear barr
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4389,"Ostomy pouch, drainable, with barrier attached, with built-in convexity (1 piece), each",Drainable pch w st wear barr
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4390,"Ostomy pouch, drainable, with extended wear barrier attached, with built-in convexity (1 piece), each",Drainable pch ex wear convex
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4391,"Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each",Urinary pouch w ex wear barr
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4392,"Ostomy pouch, urinary, with standard wear barrier attached, with built-in convexity (1 piece), each",Urinary pouch w st wear barr
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4393,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity (1 piece), each",Urine pch w ex wear bar conv
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4394,"Ostomy deodorant, with or without lubricant, for use in ostomy pouch, per fluid ounce",Ostomy pouch liq deodorant
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4395,"Ostomy deodorant for use in ostomy pouch, solid, per tablet",Ostomy pouch solid deodorant
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4396,Ostomy belt with peristomal hernia support,Peristomal hernia supprt blt
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4397,"Irrigation supply; sleeve, each                                                                            
Terminated December 31, 2021.","Notice
                            

                                HCPCS A4397 terminated on December 31, 2021."
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4398,"Ostomy irrigation supply; bag, each",Ostomy irrigation bag
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4399,"Ostomy irrigation supply; cone/catheter, with or without brush",Ostomy irrig cone/cath w brs
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4400,Ostomy irrigation set,Ostomy irrigation set
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4402,"Lubricant, per ounce",Lubricant per ounce
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4404,"Ostomy ring, each",Ostomy ring each
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4405,"Ostomy skin barrier, non-pectin based, paste, per ounce",Nonpectin based ostomy paste
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4406,"Ostomy skin barrier, pectin-based, paste, per ounce",Pectin based ostomy paste
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4407,"Ostomy skin barrier, with flange (solid, flexible, or accordion), extended wear, with built-in convexity, 4 x 4 inches or smaller, each","Ext wear ost skn barr <=4sq"""
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4408,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, with built-in convexity, larger than 4 x 4 inches, each","Ext wear ost skn barr >4sq"""
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4409,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each",Ost skn barr convex <=4 sq i
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4410,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, larger than 4 x 4 inches, each",Ost skn barr extnd >4 sq
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4411,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, with built-in convexity, each",Ost skn barr extnd =4sq
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4412,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), without filter, each",Ost pouch drain high output
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4413,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), with filter, each",2 pc drainable ost pouch
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4414,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, 4 x 4 inches or smaller, each",Ost sknbar w/o conv<=4 sq in
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4415,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, larger than 4 x 4 inches, each",Ost skn barr w/o conv >4 sqi
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4416,"Ostomy pouch, closed, with barrier attached, with filter (1 piece), each",Ost pch clsd w barrier/filtr
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4417,"Ostomy pouch, closed, with barrier attached, with built-in convexity, with filter (1 piece), each",Ost pch w bar/bltinconv/fltr
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4418,"Ostomy pouch, closed; without barrier attached, with filter (1 piece), each",Ost pch clsd w/o bar w filtr
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4419,"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter (2 piece), each",Ost pch for bar w flange/flt
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4420,"Ostomy pouch, closed; for use on barrier with locking flange (2 piece), each",Ost pch clsd for bar w lk fl
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4421,Ostomy supply; miscellaneous,Ostomy supply misc
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4422,"Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to thicken liquid stomal output, each",Ost pouch absorbent material
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4423,"Ostomy pouch, closed; for use on barrier with locking flange, with filter (2 piece), each",Ost pch for bar w lk fl/fltr
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4424,"Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each",Ost pch drain w bar & filter
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4425,"Ostomy pouch, drainable; for use on barrier with non-locking flange, with filter (2 piece system), each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4426,"Ostomy pouch, drainable; for use on barrier with locking flange (2 piece system), each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4427,"Ostomy pouch, drainable; for use on barrier with locking flange, with filter (2 piece system), each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4428,"Ostomy pouch, urinary, with extended wear barrier attached, with faucet-type tap with valve (1 piece), each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4429,"Ostomy pouch, urinary, with barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4430,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4431,"Ostomy pouch, urinary; with barrier attached, with faucet-type tap with valve (1 piece), each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4432,"Ostomy pouch, urinary; for use on barrier with non-locking flange, with faucet-type tap with valve (2 piece), each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4433,"Ostomy pouch, urinary; for use on barrier with locking flange (2 piece), each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4434,"Ostomy pouch, urinary; for use on barrier with locking flange, with faucet-type tap with valve (2 piece), each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4435,"Ostomy pouch, drainable, high output, with extended wear barrier (one-piece system), with or without filter, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4436,"Irrigation supply; sleeve, reusable, per month",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4437,"Irrigation supply; sleeve, disposable, per month",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4450,"Tape, non-waterproof, per 18 square inches",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4452,"Tape, waterproof, per 18 square inches",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4453,"Rectal catheter for use with the manual pump-operated enema system, replacement only",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4455,"Adhesive remover or solvent (for tape, cement or other adhesive), per ounce",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4456,"Adhesive remover, wipes, any type, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4458,"Enema bag with tubing, reusable",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4459,"Manual pump-operated enema system, includes balloon, catheter and all accessories, reusable, any type",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4461,"Surgical dressing holder, non-reusable, each",Surgicl dress hold non-reuse
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4463,"Surgical dressing holder, reusable, each",Surgical dress holder reuse
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4465,Non-elastic binder for extremity,Non-elastic extremity binder
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4466,"Garment, belt, sleeve or other covering, elastic or similar stretchable material, any type, each                                                                            
Terminated December 31, 2016.","Notice
                            

                                HCPCS A4466 terminated on December 31, 2016."
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4467,"Belt, strap, sleeve, garment, or covering, any type",Belt strap sleev grmnt cover
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4470,Gravlee jet washer,Gravlee jet washer
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4480,Vabra aspirator,Vabra aspirator
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4481,"Tracheostoma filter, any type, any size, each",Tracheostoma filter
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4483,"Moisture exchanger, disposable, for use with invasive mechanical ventilation",Moisture exchanger
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4490,"Surgical stockings above knee length, each",Above knee surgical stocking
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4495,"Surgical stockings thigh length, each",Thigh length surg stocking
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4500,"Surgical stockings below knee length, each",Below knee surgical stocking
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4510,"Surgical stockings full length, each",Full length surg stocking
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4520,"Incontinence garment, any type, (e.g., brief, diaper), each",Incontinence garment anytype
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4550,Surgical trays,Surgical trays
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4553,"Non-disposable underpads, all sizes","Nondisp underpads, all sizes"
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4554,"Disposable underpads, all sizes",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4555,"Electrode/transducer for use with electrical stimulation device used for cancer treatment, replacement only",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4556,"Electrodes, (e.g., apnea monitor), per pair",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4557,"Lead wires, (e.g., apnea monitor), per pair",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4558,"Conductive gel or paste, for use with electrical device (e.g., tens, nmes), per oz",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4559,"Coupling gel or paste, for use with ultrasound device, per oz",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4561,"Pessary, rubber, any type",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4562,"Pessary, non rubber, any type",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4563,"Rectal control system for vaginal insertion, for long term use, includes pump and all supplies and accessories, any type each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4565,Slings,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4566,"Shoulder sling or vest design, abduction restrainer, with or without swathe control, prefabricated, includes fitting and adjustment",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4570,Splint,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4575,"Topical hyperbaric oxygen chamber, disposable",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4580,"Cast supplies (e.g., plaster)",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4590,"Special casting material (e.g., fiberglass)",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4595,"Electrical stimulator supplies, 2 lead, per month, (e.g., tens, nmes)",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4600,"Sleeve for intermittent limb compression device, replacement only, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4601,"Lithium ion battery, rechargeable, for non-prosthetic use, replacement",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4602,"Replacement battery for external infusion pump owned by patient, lithium, 1.5 volt, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4604,Tubing with integrated heating element for use with positive airway pressure device,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4605,"Tracheal suction catheter, closed system, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4606,"Oxygen probe for use with oximeter device, replacement",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4608,"Transtracheal oxygen catheter, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4611,"Battery, heavy duty; replacement for patient owned ventilator",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4612,Battery cables; replacement for patient-owned ventilator,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4613,Battery charger; replacement for patient-owned ventilator,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4614,"Peak expiratory flow rate meter, hand held",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4615,"Cannula, nasal",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4616,"Tubing (oxygen), per foot",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4617,Mouth piece,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4618,Breathing circuits,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4619,Face tent,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4620,Variable concentration mask,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4623,"Tracheostomy, inner cannula",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4624,"Tracheal suction catheter, any type other than closed system, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4625,Tracheostomy care kit for new tracheostomy,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4626,"Tracheostomy cleaning brush, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4627,"Spacer, bag or reservoir, with or without mask, for use with metered dose inhaler",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4628,"Oropharyngeal suction catheter, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4629,Tracheostomy care kit for established tracheostomy,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4630,"Replacement batteries, medically necessary, transcutaneous electrical stimulator, owned by patient",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4633,"Replacement bulb/lamp for ultraviolet light therapy system, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4634,"Replacement bulb for therapeutic light box, tabletop model",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4635,"Underarm pad, crutch, replacement, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4636,"Replacement, handgrip, cane, crutch, or walker, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4637,"Replacement, tip, cane, crutch, walker, each.",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4638,"Replacement battery for patient-owned ear pulse generator, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4639,"Replacement pad for infrared heating pad system, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4640,Replacement pad for use with medically necessary alternating pressure pad owned by patient,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4641,"Radiopharmaceutical, diagnostic, not otherwise classified",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4642,"Indium in-111 satumomab pendetide, diagnostic, per study dose, up to 6 millicuries",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4648,"Tissue marker, implantable, any type, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4649,Surgical supply; miscellaneous,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4650,"Implantable radiation dosimeter, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4651,"Calibrated microcapillary tube, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4652,Microcapillary tube sealant,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4653,"Peritoneal dialysis catheter anchoring device, belt, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4657,"Syringe, with or without needle, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4660,Sphygmomanometer/blood pressure apparatus with cuff and stethoscope,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4663,Blood pressure cuff only,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4670,Automatic blood pressure monitor,0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4671,"Disposable cycler set used with cycler dialysis machine, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4672,"Drainage extension line, sterile, for dialysis, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4673,"Extension line with easy lock connectors, used with dialysis",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4674,"Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 oz",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4680,"Activated carbon filter for hemodialysis, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4690,"Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4706,"Bicarbonate concentrate, solution, for hemodialysis, per gallon",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4707,"Bicarbonate concentrate, powder, for hemodialysis, per packet",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4708,"Acetate concentrate solution, for hemodialysis, per gallon",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4709,"Acid concentrate, solution, for hemodialysis, per gallon",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4714,"Treated water (deionized, distilled, or reverse osmosis) for peritoneal dialysis, per gallon",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4719,"""y set"" tubing for peritoneal dialysis",0
"[""HCPCS 'A' Codes (702)""]","Transportation Services Including Ambulance, Medical & Surgical Supplies",A4720,"Dialysate solution, any concentration of dextrose, fluid volume greater than 249 cc, but less than or equal to 999 cc, for peritoneal dialysis",0
